"Note: variables that are named the same were recorded across multiple time points. Time point is indicated by a "".x"" at end of each repeated variable, where ""x"" is the corresponding wave of data collection (e.g., PFINeighEmpathy.1, PFINeighEmpathy.2, etc)",,
"Note: first set of variables with no ""."" at the end reflect demographics taken from multiple time points to make a single variable (mostly taken from time 1, 2, and 3)",,
Variable,Label,Values
RiskmanagementAvoid2.1,"Please indicate how much you agree with the following statements on the scale provided. - I completely avoid situations that could put me at risk of contracting COVID19, for example not traveling to locations where there have been cases.",
Riskmanagementreduction2.1,Please indicate how much you agree with the following statements on the scale provided. - I try to reduce my risk of getting COVID19 by wearing a mask when I leave the house.,
RiskmanagementavoidAVG.1,composite of avoidance questions,
RiskmanagementreductionAVG.1,composite of reduction questions,
DiseaseAvoidance1.1,Please indicate how much you agree with the following questions on the scale provided. - I avoid places and people that might carry diseases.,
DiseaseAvoidance2.1,Please indicate how much you agree with the following questions on the scale provided. - I avoid people who might have a contagious illness.,
DiseaseAvoidance3.1,Please indicate how much you agree with the following questions on the scale provided. - I worry about catching colds and the flu from too much contact with other people.,
DiseaseAvoidance4.1,Please indicate how much you agree with the following questions on the scale provided. - I do not worry very much about getting germs from others.,
DiseaseAvoidance5.1,"Please indicate how much you agree with the following questions on the scale provided. - When someone near me is sick, it doesn't bother me very much.",
DiseaseAvoidance6.1,Please indicate how much you agree with the following questions on the scale provided. - I don't mind being around people who are sick.,
CPR1.1,"Please answer the following questions on the scale provided. - If a stranger collapses and it looks like they need CPR (cardiopulmonary resuscitation), I would be willing to start performing CPR.",
CPR2.1,"Please answer the following questions on the scale provided. - If an acquaintance collapses and it looks like they need CPR (cardiopulmonary resuscitation), I would be willing to start performing CPR.",
CPR3.1,"Please answer the following questions on the scale provided. - If a family member collapses and it looks like they need CPR (cardiopulmonary resuscitation), I would be willing to start performing CPR.",
Delay1.1,Please indicate how much you agree with the following statement. - I am considering delaying routine checkups and dentist visits.,
NonfoodHave.1,How many days of non-food supplies do you currently have for your household?,
NonfoodWant.1,How many days of non-food supplies would you like to have for your household?,
FoodHave.1,How many days of food do you currently have for your household?,
FoodWant.1,How many days of food would you like to have for your household?,
Summer1.1,"How much are you thinking about your plans (travel, work, vacation, etc.) for... - the next week?",
Summer2.1,"How much are you thinking about your plans (travel, work, vacation, etc.) for... - the next month?",
Summer3.1,"How much are you thinking about your plans (travel, work, vacation, etc.) for... - the summer?",
Concern.1,How concerned are you about becoming infected with COVID19?,
OtherConcern.1,How concerned are you about other matters (not-related to infection) associated with the COVID19 outbreak?,
DiscussWith1.1,How likely are you to talk about your concerns or show that you are concerned with COVID19 with the following people? - Family,
DiscussWith2.1,How likely are you to talk about your concerns or show that you are concerned with COVID19 with the following people? - Friends,
DiscussWith3.1,How likely are you to talk about your concerns or show that you are concerned with COVID19 with the following people? - Coworkers,
DiscussWith4.1,How likely are you to talk about your concerns or show that you are concerned with COVID19 with the following people? - Strangers,
PFINeighEmpathy.1,"Please indicate how much you agree with the following questions on the scale provided. - When my neighborhood succeeds, I feel good.",
PFINeigh2.1,"Please indicate how much you agree with the following questions on the scale provided. - When my neighborhood fails, I feel bad",
PFINeigh3.1,Please indicate how much you agree with the following questions on the scale provided. - I feel that my neighborhood's gain is my gain.,
PFINeigh4.1,Please indicate how much you agree with the following questions on the scale provided. - What is good for my neighborhood is good for me.,
PFINeigh5.1,"Please indicate how much you agree with the following questions on the scale provided. - Honestly, I don't care whether my neighborhood thrives or not.",
PFINeighSharedFate.1,Please indicate how much you agree with the following questions on the scale provided. - My neighborhood and I rise and fall together,
CFINeigh1.1,"CFINeigh - When something good happens to my neighborhood, that is ...",
CFINeigh2.1,"CFINeigh - When something bad happens to my neighborhood, that is ...",
CFINeigh3.1,"CFINeigh - When my neighborhood succeeds, I feel ...",
CFINeigh4.1,"CFINeigh - When my neighborhood fails, I feel ...",
CFINeigh5.1,CFINeigh - My neighborhood's gain is ...,
CFINeigh6.1,CFINeigh - My neighborhood's loss is ...,
WillingnessNeigh1.1,"How willing are you to do the following things? - During a winter storm, someone from your neighborhood knocks on your door because their heating is out. How willing would you be to let them sleep in your living room for the night?",
WillingnessNeigh2.1,How willing are you to do the following things? - Someone from your neighborhood has no water in their house. How willing would you be to fill their jugs with water from your tap?,
WillingnessNeigh.1,"How willing are you to do the following things? - Someone from your neighborhood is having their house fixed, so it isn't livable. How willing would you be to let them move into your house for a week?",
WillingnessNeigh4.1,How willing are you to do the following things? - How willing would you be to help someone from your neighborhood move boxes into their new apartment?,
RepayNeigh1.1,How much repayment or compensation would you expect for helping someone from your neighborhood?,
NBTNeigh.1,Please indicate your agreement with the following statements. - Helping someone from my neighborhood when they are in need is the right thing to do.,
NBTNeigh2.1,Please indicate your agreement with the following statements. - I get a strong urge to help when I see that someone from my neighborhood is upset.,
PFICountry1.1,"Please indicate how much you agree with the following questions on the scale provided. - When my country succeeds, I feel good.",
PFICountry2.1,"Please indicate how much you agree with the following questions on the scale provided. - When my country fails, I feel bad",
PFICountry3.1,Please indicate how much you agree with the following questions on the scale provided. - I feel that my country's gain is my gain.,
PFICountry4.1,Please indicate how much you agree with the following questions on the scale provided. - What is good for my country is good for me.,
PFICountry5.1,"Please indicate how much you agree with the following questions on the scale provided. - Honestly, I don't care whether my country thrives or not.",
PFICountry6.1,Please indicate how much you agree with the following questions on the scale provided. - My country and I rise and fall together,
CFICountry1.1,"CFICountry - When something good happens to my country, that is ...",
CFICountry2.1,"CFICountry - When something bad happens to my country, that is ...",
CFICountry3.1,"CFICountry - When my country succeeds, I feel ...",
CFICountry4.1,"CFICountry - When my country fails, I feel ...",
CFICountry5.1,CFICountry - My country's gain is ...,
CFICountry6.1,CFICountry - My country's loss is ...,
WillingnessCountry1.1,"How willing are you to do the following things? - During a winter storm, a displaced person who is a citizen of your own country knocks on your door because their heating is out. How willing would you be to let them sleep in your living room for the night?",
WillingnessCountry2.1,How willing are you to do the following things? - A displaced person who is a citizen of your own country has no water in their house. How willing would you be to fill their jugs with water from your tap?,
WillingnessCountry3.1,"How willing are you to do the following things? - A displaced person who is a citizen of your own country is having their house fixed, so it isn't livable. How willing would you be to let them move into your house for a week?",
WillingnessCountry4.1,How willing are you to do the following things? - How willing would you be to help a displaced person who is a citizen of your own country move boxes into their new apartment?,
RepayCountry1.1,How much repayment or compensation would you expect for helping someone from a displaced person who is a citizen of your own country?,
NBTCommunity1.1,Please indicate your agreement with the following statement. - Helping a displaced person who is a citizen of your own country when they are in need is the right thing to do.,
NBTCommunity2.1,Please indicate your agreement with the following statement. - I get a strong urge to help when I see that a displaced citizen from my own country is upset.,
PFIHumanityEmpathy.1,"Please indicate how much you agree with the following questions on the scale provided. - When all of humanity succeeds, I feel good.",
PFIHumanity2.1,"Please indicate how much you agree with the following questions on the scale provided. - When all of humanity fails, I feel bad",
PFIHumanity3.1,Please indicate how much you agree with the following questions on the scale provided. - I feel that all of humanity's gain is my gain.,
PFIHumanity4.1,Please indicate how much you agree with the following questions on the scale provided. - What is good for my all of humanity is good for me.,
PFIHumanity5.1,"Please indicate how much you agree with the following questions on the scale provided. - Honestly, I don't care whether all of humanity thrives or not.",
PFIHumanitySharedFate.1,Please indicate how much you agree with the following questions on the scale provided. - All of humanity and I rise and fall together,
CFIHumanity1.1,"CFIHumanity - When something good happens to all of humanity, that is ...",
CFIHumanity2.1,"CFIHumanity - When something bad happens to all of humanity, that is ...",
CFIHumanity3.1,"CFIHumanity - When all of humanity succeeds, I feel ...",
CFIHumanity4.1,"CFIHumanity - When all of humanity fails, I feel ...",
CFIHumanity5.1,CFIHumanity - All of humanity's gain is ...,
CFIHumanity6.1,CFIHumanity - All of humanity's loss is ...,
WillingnessHumanity1.1,"How willing are you to do the following things? - During a winter storm, a displaced person who is not a citizen of your own country knocks on your door because their heating is out. How willing would you be to let them sleep in your living room for the night?",
WillingnessHumanity2.1,How willing are you to do the following things? - A displaced person who is not a citizen of your own country has no water in their house. How willing would you be to fill their jugs with water from your tap?,
WillingnessHumanity.1,"How willing are you to do the following things? - A displaced person who is not a citizen of your own country is having their house fixed, so it isn't livable. How willing would you be to let them move into your house for a week?",
WillingnessHumanity4.1,How willing are you to do the following things? - How willing would you be to help a displaced person who is not a citizen of your own country move boxes into their new apartment?,
RepayHumanity1.1,How much repayment or compensation would you expect for helping someone from a displaced person who is not a citizen of your own country?,
NBTHumanity.1,Please indicate your agreement with the following statement. - Helping a displaced person who is not a citizen of your own country when they are in need is the right thing to do.,
NBTHumanity2.1,Please indicate your agreement with the following statement. - I get a strong urge to help when I see that a displaced citizen who is not from my own country is upset.,
PrepTimeCovidnotCOVID.1,"Since you learned about COVID19, how much effort (time, energy, money) have you put into these preparations? Spent time on things NOT RELATED to the COVID19",
PrepTimeCovidtracking.1,"Since you learned about COVID19, how much effort (time, energy, money) have you put into these preparations? ",
PrepTimeCovidtalking.1,"Since you learned about COVID19, how much effort (time, energy, money) have you put into these preparations? Spent time talking, texting, etc., with family, friends, and coworkers about COVID19 and how to prepare for it",
PrepTimeCovidnewrelationships.1,"Since you learned about COVID19, how much effort (time, energy, money) have you put into these preparations? Spent time trying to develop new relationships, or improving existing relationships, with family, friends, neighbors, coworkers, church congregation members, etc.",
PrepTimeCovidmedical.1,,
PrepTimeCovidfood.1,"Since you learned about COVID19, how much effort (time, energy, money) have you put into these preparations? Spent time stocking up on food",
PrepTimeCovidwater.1,"Since you learned about COVID19, how much effort (time, energy, money) have you put into these preparations? Spent time stocking up on water or preparing in case the water supply fails",
PrepTimeCovidpower.1,"Since you learned about COVID19, how much effort (time, energy, money) have you put into these preparations? Spent time buying supplies in case there is a loss of power from the electrical grid (I.e., buying solar power, generators, batteries)",
PrepTimeCovidhomedefense.1,"Spent time buying supplies for home defense (I.e., guns, ammo, door locks, security systems)",
PrepTimeCovidfinancial.1,"Spent time planning for the possible impact on your business, career, investments, pension, home equity, etc.?",
PrepTimeCovidbarter.1,Spent time stocking up on physical goods that you could trade or barter if things get bad?,
PrepTimeCovidother.1,Spent time on anything else related to preparing for COVID19?,
PrepTimeCovid12TEXT.1,Spent time on anything else related to preparing for COVID19?,
PrepCOVIDPoliticalLeaders.1,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: - National political leaders",
PrepCOVIDLocalGov.1,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: - Local or city government",
PrepCOVIDNationalHealthcare.1,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: - National healthcare system",
PrepCOVIDLocalHealthcare.1,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: - Local healthcare system",
PrepCOVIDNationalMedia.1,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: - National media",
PrepCOVIDLocalMedia.1,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: - Local media",
PrepCOVIDAirline.1,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: - Airline transport system",
PrepCOVIDEmployer.1,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: - Your employer",
PrepCOVIDExtendedFamily.1,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: - Your extended family (grandparents, parents, aunts, uncles, cousins, in-laws, etc.)",
PrepCOVIDSigOther.1,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: - Your significant other (boyfriend, girlfriend, wife, husband)",
PrepCOVIDParents.1,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: - Your parents",
PrepCOVIDSiblings.1,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: - Your siblings (brothers, sisters, etc.)",
Howmuch.1,How much money have you spent on preparations for COVID19?,
currency.1,What type of currency was this?,
CloseFriendPFIEmpathyComposite.1,,
AcqPFIEmpathyComposite.1,,
NeighborPFIEmpathyComposite.1,,
CountryPFIEmpathyComposite.1,,
HumanityPFIEmpathyComposite.1,,
CloseFriendPFISharedFAteComposite.1,,
AcqPFISharedFAteComposite.1,,
NeighborPFISharedFAteComposite.1,,
CountryPFISharedFAteComposite.1,,
HumanityPFISharedFAteComposite.1,,
PSScomposite.1,,
AnxietyComposite.1,,
WillingnessNeighborComposite.1,,
WillingnessCountryComposite.1,,
WillingnessHumanityComposite.1,,
PerceptionRiskComposite.1,,
PerceptionManagementComposite.1,,
CFICloseFriendComposite.1,,
CFIAcqComposite.1,,
CFINeighborComposite.1,,
CFICountryComposite.1,,
CFIHumanityComposite.1,,
DiseaseAvoidanceComposite.1,,
NBTNeighborComposite.1,,
NBTHumanityComposite.1,,
NBTCountryComposite.1,,
IPAddress.2,IP Address,
Progress.2,Progress,
LocationLatitude.2,Location Latitude,
LocationLongitude.2,Location Longitude,
Age.2,What is your age?,
Sex.2,What is your sex? - Selected Choice,
SexOther.2,What is your sex? - Other - Text,
Children.2,How many children do you have?,
Under12.2,How many children do you have under the age of 12?,
Over12.2,How many children do you have over the age of 12?,
Education.2,What is the highest level of education that you have completed?,
SSES.2,Please choose the number associated with the rung that best represents where you think you stand on the ladder. - 1,
Ethnicity.2,What is your ethnicity? - Selected Choice,
EthnicityOther.2,What is your ethnicity? - Other - Text,
English.2,Is English your first language?,
Fluent.2,Do you consider yourself to be fluent in English?,
ZIP.2,What is the zip code of your current residence?,
CurrentCountry.2,What country do you currently live in?,
BornCountry.2,What country were you born in?,
LivingSituation.2,What is your current living situation?,
MateSeeking1.2,Please indicate how much you agree with the following statements on the scale provided. - I spend a lot of time thinking about ways to meet possible dating partners.,
MateSeeking2.2,Please indicate how much you agree with the following statements on the scale provided. - Starting a new romantic/sexual relationship is not a high priority for me.,
Preexisting.2,Do you have any pre-existing health conditions that require you to take extra precautions to avoid being sick?,
PreexistWhat.2,"If yes, what is the complication?",
PFIclose1.2,"Please indicate how much you agree with the following questions on the scale provided. - When my close friend succeeds, I feel good.",
PFIclose2.2,"Please indicate how much you agree with the following questions on the scale provided. - When my close friend fails, I feel bad",
PFIclose3.2,Please indicate how much you agree with the following questions on the scale provided. - I feel that my close friend's gain is my gain.,
PFIclose4.2,Please indicate how much you agree with the following questions on the scale provided. - What is good for my close friend is good for me.,
PFIclose5.2,"Please indicate how much you agree with the following questions on the scale provided. - Honestly, I don't care whether my close friend thrives or not.",
PFIclose6.2,Please indicate how much you agree with the following questions on the scale provided. - My close friend and I rise and fall together,
PSS1.2,"In the last month, how often have you been upset because of something that happened unexpectedly?",
PSS2.2,"In the last month, how often have you felt that you were unable to control the important things in your life?",
PSS3.2,"In the last month, how often have you felt nervous and “stressed”?",
PSS4.2,"In the last month, how often have you felt confident about your ability to handle your personal problems?",
PSS5.2,"In the last month, how often have you felt that things were going your way?",
PSS6.2,"In the last month, how often have you found that you could not cope with all the things that you had to do?",
PSS7.2,"In the last month, how often have you been able to control irritations in your life?",
PSS8.2,"In the last month, how often have you felt that you were on top of things?",
PSS9.2,"In the last month, how often have you been angered because of things that were outside of your control?",
PSS10.2,"In the last month, how often have you felt difficulties were piling up so high that you could not overcome them?",
Anxiety1.2,"Over the last two weeks, how often have you been bothered by the following problems? - Feeling nervous, anxious, or on edge",
Anxiety2.2,"Over the last two weeks, how often have you been bothered by the following problems? - Not being able to stop or control worrying",
Anxiety3.2,"Over the last two weeks, how often have you been bothered by the following problems? - Worrying too much about different things",
Anxiety4.2,"Over the last two weeks, how often have you been bothered by the following problems? - Trouble relaxing",
Anxiety5.2,"Over the last two weeks, how often have you been bothered by the following problems? - Being so restless that it's hard to sit still",
Anxiety6.2,"Over the last two weeks, how often have you been bothered by the following problems? - Becoming easily annoyed or irritable",
Anxiety7.2,"Over the last two weeks, how often have you been bothered by the following problems? - Feeling afraid as if something awful might happen",
PerceptionsRisk.2,Please answer the following questions on the scale provided. - How likely do you think it is that you will contract COVID19?,
PerceptionsRisk2.2,Please answer the following questions on the scale provided. - How likely is it that the epidemic will get a lot worse before it gets better?,
PerceptionsRisk3.2,"Please answer the following questions on the scale provided. - How likely are you to avoid places where you might contract the virus (school, work, hospitals, etc.)?",
Riskmanagementtransfer.2,Please indicate how much you agree with the following statements on the scale provided. - I am likely to ask parents or friends for help preparing for the COVID19 epidemic.,
Riskmanagementretention.2,Please indicate how much you agree with the following statements on the scale provided. - I have been stocking up on food and supplies so that I am prepared for the COVID19 epidemic.,
Riskmanagementreduction1.2,Please indicate how much you agree with the following statements on the scale provided. - I try to reduce my risk of getting COVID19 by doing things like washing my hands often.,
Riskmanagementavoid1.2,"Please indicate how much you agree with the following statements on the scale provided. - I completely avoid situations that could put me at risk of contracting COVID19, for example staying away from large events where there have been cases.",
Riskmanagementavoid2.2,"Please indicate how much you agree with the following statements on the scale provided. - I completely avoid situations that could put me at risk of contracting COVID19, for example not traveling to locations where there have been cases.",
Riskmanagementreduction2.2,Please indicate how much you agree with the following statements on the scale provided. - I try to reduce my risk of getting COVID19 by wearing a mask when I leave the house.,
Riskmanagementavoid.2,composite of avoidance items,
Riskmanagementreduction.2,,
DiseaseAvoidance1.2,Please indicate how much you agree with the following questions on the scale provided. - I avoid places and people that might carry diseases.,
DiseaseAvoidance2.2,Please indicate how much you agree with the following questions on the scale provided. - I avoid people who might have a contagious illness.,
DiseaseAvoidance3.2,Please indicate how much you agree with the following questions on the scale provided. - I worry about catching colds and the flu from too much contact with other people.,
DiseaseAvoidance4.2,Please indicate how much you agree with the following questions on the scale provided. - I do not worry very much about getting germs from others.,
DiseaseAvoidance5.2,"Please indicate how much you agree with the following questions on the scale provided. - When someone near me is sick, it doesn't bother me very much.",
DiseaseAvoidance6.2,Please indicate how much you agree with the following questions on the scale provided. - I don't mind being around people who are sick.,
CPR1.2,"Please answer the following questions on the scale provided. - If a stranger collapses and it looks like they need CPR (cardiopulmonary resuscitation), I would be willing to start performing CPR.",
CPR2.2,"Please answer the following questions on the scale provided. - If an acquaintance collapses and it looks like they need CPR (cardiopulmonary resuscitation), I would be willing to start performing CPR.",
CPR3.2,"Please answer the following questions on the scale provided. - If a family member collapses and it looks like they need CPR (cardiopulmonary resuscitation), I would be willing to start performing CPR.",
Delay.2,Please indicate how much you agree with the following statement. - I am considering delaying routine checkups and dentist visits.,
TemporalDiscounting.2,"If you found $100 tomorrow, how likely would you be to use it to go out to dinner?",
FutureWorld1.2,Please answer the following questions on the scale provided. - How much are you thinking about climate change and other global sustainability that will have an impact on the world in the next 10-20 years?,
FutureWorld.2,Please answer the following questions on the scale provided. - How much are you thinking about climate change and other global sustainability issues that will have an impact on the world in the next 10-20 years?,
SocialDistnacing1.2,Please answer the following questions on the scale provided. - To what extent are you avoiding gathering in public places?,
SocialDistnacing2.2,Please answer the following questions on the scale provided. - To what extent are you canceling meetings and get-togethers?,
NonfoodHave.2,How many days of non-food supplies do you currently have for your household?,
NonfoodWant.2,How many days of non-food supplies would you like to have for your household?,
FoodHave.2,How many days of food do you currently have for your household?,
FoodWant.2,How many days of food would you like to have for your household?,
Summer1.2,"How much are you thinking about your plans (travel, work, vacation, etc.) for... - the next week?",
Summer2.2,"How much are you thinking about your plans (travel, work, vacation, etc.) for... - the next month?",
Summer3.2,"How much are you thinking about your plans (travel, work, vacation, etc.) for... - the summer?",
Concern.2,How concerned are you about becoming infected with COVID19?,
OtherConcern.2,How concerned are you about other matters (not-related to infection) associated with the COVID19 outbreak?,
DiscussWith1.2,How likely are you to talk about your concerns or show that you are concerned with COVID19 with the following people? - Family,
DiscussWith2.2,How likely are you to talk about your concerns or show that you are concerned with COVID19 with the following people? - Friends,
DiscussWith3.2,How likely are you to talk about your concerns or show that you are concerned with COVID19 with the following people? - Coworkers,
DiscussWith4.2,How likely are you to talk about your concerns or show that you are concerned with COVID19 with the following people? - Strangers,
PFINeighEmpathy.2,"Please indicate how much you agree with the following questions on the scale provided. - When my neighborhood succeeds, I feel good.",
PFINeigh2.2,"Please indicate how much you agree with the following questions on the scale provided. - When my neighborhood fails, I feel bad",
PFINeigh3.2,Please indicate how much you agree with the following questions on the scale provided. - I feel that my neighborhood's gain is my gain.,
PFINeigh4.2,Please indicate how much you agree with the following questions on the scale provided. - What is good for my neighborhood is good for me.,
PFINeigh5.2,"Please indicate how much you agree with the following questions on the scale provided. - Honestly, I don't care whether my neighborhood thrives or not.",
PFINeighSharedFate.2,Please indicate how much you agree with the following questions on the scale provided. - My neighborhood and I rise and fall together,
WillingnessNeigh1.2,"How willing are you to do the following things? - During a winter storm, someone from your neighborhood knocks on your door because their heating is out. How willing would you be to let them sleep in your living room for the night?",
WillingnessNeigh2.2,How willing are you to do the following things? - Someone from your neighborhood has no water in their house. How willing would you be to fill their jugs with water from your tap?,
WillingnessNeigh.2,"How willing are you to do the following things? - Someone from your neighborhood is having their house fixed, so it isn't livable. How willing would you be to let them move into your house for a week?",
WillingnessNeigh4.2,How willing are you to do the following things? - How willing would you be to help someone from your neighborhood move boxes into their new apartment?,
RepayNeigh.2,How much repayment or compensation would you expect for helping someone from your neighborhood?,
NBTNeigh.2,Please indicate your agreement with the following statements. - Helping someone from my neighborhood when they are in need is the right thing to do.,
NBTNeigh2.2,Please indicate your agreement with the following statements. - I get a strong urge to help when I see that someone from my neighborhood is upset.,
PFIHumanityEmpathy.2,"Please indicate how much you agree with the following questions on the scale provided. - When all of humanity succeeds, I feel good.",
PFIHumanity2.2,"Please indicate how much you agree with the following questions on the scale provided. - When all of humanity fails, I feel bad",
